,plant-growth_abnorm,leafspots-halo_no-yellow-halos,leafspots-marg_w-s-marg,leafspot-size_gt-1/8,leaf-mild_absent,stem-cankers_absent,canker-lesion_dk-brown-blk,fruiting-bodies_absent,fruiting-bodies_present,external-decay_absent,int-discolor_brown,int-discolor_none,fruit-pods_diseased,fruit-pods_norm,fruit-spots_absent,fruit-spots_colored,mold-growth_absent,roots_rotted
35,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
36,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
37,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
38,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
39,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
40,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
41,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
42,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
43,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False
44,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
45,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
46,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
47,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
48,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False
49,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
50,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
51,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
52,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
53,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
54,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
55,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False
56,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
57,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
58,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
59,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
60,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
61,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
62,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
63,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
64,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
65,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
66,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
67,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
68,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
69,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
70,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
71,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
72,True,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,True,False
73,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
74,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
75,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
76,True,True,True,True,True,True,False,True,False,True,True,False,False,True,False,False,True,False
77,True,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,True,False
78,True,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,True,False
79,True,True,True,True,True,True,False,True,False,True,True,False,False,True,False,False,True,False
80,True,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,True,False
81,True,True,True,True,True,True,False,True,False,True,True,False,False,True,False,False,True,False
82,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
83,True,True,True,True,True,True,False,True,False,True,True,False,False,True,False,False,True,False
84,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
85,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
86,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
87,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
88,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
89,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,True,False
90,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
91,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
92,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
93,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
94,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
95,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
96,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
97,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
98,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
99,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
100,False,True,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
101,False,True,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
102,False,False,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
103,False,False,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
104,False,False,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
105,False,False,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
106,False,True,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
107,False,False,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
108,False,True,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
109,False,False,True,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
110,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
111,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
112,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
113,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
114,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
115,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
116,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
117,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
118,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
119,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
120,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False
121,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
122,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
123,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False
124,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
125,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False
126,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
127,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
128,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
129,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
130,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False
131,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
132,False,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False,True,False
133,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
134,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
135,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
136,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False
137,False,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,False
138,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False
139,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
140,False,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False,True,False
141,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
142,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
143,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False
144,False,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False,True,False
145,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False
146,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
147,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False
148,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
149,False,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False,True,False
150,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
151,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
152,False,False,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
153,False,False,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
154,False,False,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
155,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
156,False,False,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
157,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
158,False,False,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
159,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
160,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
161,True,True,False,False,True,True,False,True,False,True,False,True,False,True,True,False,False,False
162,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
163,False,False,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True
164,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,False,True
165,False,True,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True
166,True,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,False,False
167,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True
168,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,False,False
169,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True
170,False,False,False,False,True,True,False,True,False,True,False,True,True,False,False,True,True,False
171,False,True,True,False,True,True,False,True,False,True,False,True,True,False,False,True,True,False
172,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
173,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
174,False,True,True,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
175,False,True,True,False,True,True,False,True,False,True,False,True,True,False,False,True,True,False
176,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
177,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
178,False,True,True,False,True,True,False,True,False,True,False,True,True,False,False,True,True,False
179,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False
180,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,True,False
181,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False
182,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,False
183,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True,False
184,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False
185,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
186,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,False
187,True,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,True,False
188,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,False
189,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False
190,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False
191,True,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,False,False
192,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
193,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False
194,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,True,False
195,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
196,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,False
197,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False
198,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False
199,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False
200,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
201,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
202,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
203,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
204,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
205,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
206,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
207,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
208,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
209,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
210,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
211,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
212,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
213,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
214,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
215,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
216,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
217,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
218,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
219,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
220,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
221,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
222,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
223,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
224,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
225,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
226,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
227,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
228,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
229,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
230,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
231,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
232,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
233,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
234,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
235,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
236,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
237,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
238,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
239,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
240,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
241,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
242,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
243,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
244,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
245,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
246,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
247,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
248,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
249,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
250,False,True,True,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False
251,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
252,False,True,True,True,True,False,False,True,False,False,False,True,False,True,True,False,True,False
253,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
254,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
255,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
256,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
257,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
258,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
259,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
260,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
261,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
262,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
263,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False
264,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
265,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False
266,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
267,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
268,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
269,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False
270,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
271,False,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,True,False
272,False,True,True,True,True,False,False,False,True,True,False,True,True,False,False,True,True,False
273,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False
274,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
275,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
276,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
277,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
278,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
279,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
280,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
281,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
282,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False
283,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
284,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
285,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False
286,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
287,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
288,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
289,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,False
290,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False
291,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False
292,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False
293,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False
294,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False
295,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False
296,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
297,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
298,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
299,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
300,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
301,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
302,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
303,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
304,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
305,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
306,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
307,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
308,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
309,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
310,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
311,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
312,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
313,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
314,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
315,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
316,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
317,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
318,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
319,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
320,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
321,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
322,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
323,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
324,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
325,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
326,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False
327,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True
328,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
329,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
330,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
331,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
332,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
333,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
334,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
335,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
336,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
337,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
338,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False
339,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False
340,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False
341,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
342,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True
343,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
344,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
345,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True
346,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
347,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
348,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
349,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
350,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
351,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
352,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
353,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
354,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
355,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
356,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
