class,date,plant-stand,precip,temp,crop-hist,area-damaged,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-malf,stem,stem-cankers,canker-lesion,external-decay,mycelium,int-discolor,sclerotia,fruit-pods,roots
charcoal-rot,september,normal,lt-norm,gt-norm,same-lst-sev-yrs,whole-field,abnorm,abnorm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,black,present,norm,norm
charcoal-rot,october,normal,lt-norm,gt-norm,diff-lst-year,upper-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,black,present,norm,norm
charcoal-rot,august,normal,lt-norm,norm,same-lst-two-yrs,upper-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,black,present,norm,norm
charcoal-rot,july,normal,lt-norm,gt-norm,same-lst-two-yrs,upper-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,black,present,norm,norm
charcoal-rot,september,normal,lt-norm,gt-norm,same-lst-two-yrs,upper-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,black,present,norm,norm
rhizoctonia-root-rot,may,lt-normal,gt-norm,lt-norm,same-lst-two-yrs,low-areas,abnorm,norm,absent,dna,dna,absent,abnorm,below-soil,brown,firm-and-dry,present,none,absent,dna,norm
rhizoctonia-root-rot,may,lt-normal,gt-norm,lt-norm,same-lst-yr,low-areas,abnorm,norm,absent,dna,dna,absent,abnorm,below-soil,brown,firm-and-dry,absent,none,absent,dna,norm
rhizoctonia-root-rot,july,normal,gt-norm,lt-norm,same-lst-sev-yrs,low-areas,abnorm,norm,absent,dna,dna,absent,abnorm,below-soil,brown,firm-and-dry,present,none,absent,dna,norm
rhizoctonia-root-rot,april,lt-normal,gt-norm,lt-norm,diff-lst-year,low-areas,abnorm,norm,absent,dna,dna,absent,abnorm,below-soil,brown,firm-and-dry,absent,none,absent,dna,norm
rhizoctonia-root-rot,april,lt-normal,gt-norm,lt-norm,same-lst-yr,low-areas,abnorm,norm,absent,dna,dna,absent,abnorm,below-soil,brown,firm-and-dry,absent,none,absent,dna,norm
rhizoctonia-root-rot,may,lt-normal,gt-norm,lt-norm,same-lst-sev-yrs,low-areas,abnorm,norm,absent,dna,dna,absent,abnorm,below-soil,brown,firm-and-dry,absent,none,absent,dna,norm
rhizoctonia-root-rot,may,lt-normal,gt-norm,lt-norm,diff-lst-year,low-areas,abnorm,norm,absent,dna,dna,absent,abnorm,below-soil,brown,firm-and-dry,absent,none,absent,dna,norm
rhizoctonia-root-rot,june,lt-normal,gt-norm,lt-norm,same-lst-two-yrs,low-areas,abnorm,norm,absent,dna,dna,absent,abnorm,below-soil,brown,firm-and-dry,absent,none,absent,dna,norm
rhizoctonia-root-rot,may,lt-normal,gt-norm,lt-norm,same-lst-yr,low-areas,abnorm,norm,absent,dna,dna,absent,abnorm,below-soil,brown,firm-and-dry,absent,none,absent,dna,norm
rhizoctonia-root-rot,june,lt-normal,gt-norm,lt-norm,same-lst-yr,low-areas,abnorm,norm,absent,dna,dna,absent,abnorm,below-soil,brown,firm-and-dry,absent,none,absent,dna,norm
phytophthora-rot,april,lt-normal,gt-norm,norm,same-lst-yr,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,below-soil,dk-brown-blk,firm-and-dry,absent,none,absent,dna,norm
phytophthora-rot,may,lt-normal,gt-norm,lt-norm,same-lst-two-yrs,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
phytophthora-rot,april,lt-normal,norm,norm,same-lst-yr,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,below-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
phytophthora-rot,july,lt-normal,gt-norm,lt-norm,same-lst-two-yrs,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
phytophthora-rot,june,lt-normal,gt-norm,lt-norm,same-lst-yr,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,below-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
phytophthora-rot,april,lt-normal,gt-norm,norm,same-lst-sev-yrs,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,below-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
phytophthora-rot,april,lt-normal,norm,norm,same-lst-two-yrs,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-soil,dk-brown-blk,firm-and-dry,absent,none,absent,dna,norm
phytophthora-rot,july,lt-normal,gt-norm,lt-norm,same-lst-yr,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
phytophthora-rot,april,lt-normal,gt-norm,norm,same-lst-two-yrs,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,below-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
phytophthora-rot,june,lt-normal,gt-norm,norm,same-lst-yr,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,below-soil,dk-brown-blk,firm-and-dry,absent,none,absent,dna,norm
phytophthora-rot,april,lt-normal,gt-norm,norm,same-lst-sev-yrs,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,below-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
phytophthora-rot,may,lt-normal,gt-norm,norm,diff-lst-year,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
phytophthora-rot,may,lt-normal,gt-norm,norm,same-lst-sev-yrs,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,below-soil,dk-brown-blk,firm-and-dry,absent,none,absent,dna,norm
phytophthora-rot,june,lt-normal,gt-norm,lt-norm,same-lst-yr,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,below-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
phytophthora-rot,may,lt-normal,gt-norm,lt-norm,diff-lst-year,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
phytophthora-rot,july,lt-normal,norm,lt-norm,same-lst-two-yrs,low-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,above-soil,dk-brown-blk,absent,absent,none,absent,dna,norm
brown-stem-rot,august,normal,lt-norm,norm,same-lst-yr,whole-field,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
brown-stem-rot,august,normal,lt-norm,norm,same-lst-yr,whole-field,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
brown-stem-rot,july,lt-normal,lt-norm,lt-norm,same-lst-sev-yrs,scattered,abnorm,norm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,brown,absent,norm,norm
brown-stem-rot,september,normal,lt-norm,gt-norm,same-lst-yr,whole-field,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
brown-stem-rot,september,normal,lt-norm,gt-norm,same-lst-two-yrs,whole-field,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
brown-stem-rot,august,normal,lt-norm,norm,same-lst-sev-yrs,upper-areas,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
brown-stem-rot,september,normal,lt-norm,norm,same-lst-sev-yrs,whole-field,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,absent,tan,absent,absent,brown,absent,norm,norm
brown-stem-rot,october,normal,norm,norm,same-lst-two-yrs,scattered,abnorm,norm,absent,dna,gt-1/8,absent,abnorm,absent,tan,absent,absent,brown,absent,norm,norm
brown-stem-rot,september,lt-normal,lt-norm,lt-norm,same-lst-sev-yrs,upper-areas,abnorm,abnorm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,brown,absent,norm,norm
brown-stem-rot,september,lt-normal,lt-norm,norm,same-lst-yr,whole-field,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,absent,tan,absent,absent,brown,absent,norm,norm
brown-stem-rot,august,normal,norm,lt-norm,same-lst-two-yrs,whole-field,abnorm,norm,absent,dna,dna,absent,abnorm,absent,tan,absent,absent,brown,absent,norm,norm
brown-stem-rot,august,lt-normal,lt-norm,lt-norm,same-lst-sev-yrs,upper-areas,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,absent,tan,absent,absent,brown,absent,norm,norm
brown-stem-rot,august,normal,lt-norm,norm,same-lst-two-yrs,scattered,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
brown-stem-rot,july,lt-normal,lt-norm,lt-norm,same-lst-two-yrs,scattered,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,absent,tan,absent,absent,brown,absent,norm,norm
brown-stem-rot,september,normal,lt-norm,norm,same-lst-sev-yrs,upper-areas,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
brown-stem-rot,august,normal,lt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
brown-stem-rot,august,normal,lt-norm,norm,same-lst-sev-yrs,upper-areas,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
brown-stem-rot,august,normal,lt-norm,norm,same-lst-yr,upper-areas,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
brown-stem-rot,august,normal,lt-norm,norm,same-lst-yr,upper-areas,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
brown-stem-rot,july,normal,lt-norm,norm,same-lst-sev-yrs,upper-areas,norm,abnorm,absent,dna,dna,absent,abnorm,absent,dna,absent,absent,brown,absent,norm,norm
powdery-mildew,september,normal,lt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,absent,dna,dna,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
powdery-mildew,october,normal,norm,lt-norm,diff-lst-year,scattered,norm,abnorm,absent,dna,dna,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
powdery-mildew,may,lt-normal,lt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,absent,dna,dna,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
powdery-mildew,october,lt-normal,norm,lt-norm,same-lst-two-yrs,upper-areas,norm,abnorm,absent,dna,dna,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
powdery-mildew,august,lt-normal,norm,lt-norm,same-lst-two-yrs,upper-areas,norm,abnorm,absent,dna,dna,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
powdery-mildew,october,normal,lt-norm,norm,same-lst-yr,low-areas,norm,abnorm,absent,dna,dna,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
powdery-mildew,june,lt-normal,norm,lt-norm,same-lst-two-yrs,upper-areas,norm,abnorm,absent,dna,dna,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
powdery-mildew,october,lt-normal,lt-norm,norm,same-lst-yr,low-areas,norm,abnorm,absent,dna,dna,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
powdery-mildew,september,lt-normal,lt-norm,norm,same-lst-yr,low-areas,norm,abnorm,absent,dna,dna,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
powdery-mildew,may,lt-normal,lt-norm,norm,same-lst-yr,low-areas,norm,abnorm,absent,dna,dna,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
downy-mildew,october,normal,gt-norm,lt-norm,same-lst-two-yrs,low-areas,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,norm,absent,dna,absent,absent,none,absent,norm,norm
downy-mildew,june,normal,gt-norm,norm,same-lst-yr,low-areas,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,norm,absent,dna,absent,absent,none,absent,norm,norm
downy-mildew,may,normal,gt-norm,norm,same-lst-sev-yrs,upper-areas,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
downy-mildew,august,lt-normal,gt-norm,gt-norm,same-lst-two-yrs,upper-areas,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,present,norm,absent,dna,absent,absent,none,absent,norm,norm
downy-mildew,may,normal,gt-norm,lt-norm,diff-lst-year,scattered,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
downy-mildew,june,lt-normal,gt-norm,lt-norm,same-lst-sev-yrs,scattered,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
downy-mildew,june,lt-normal,gt-norm,norm,same-lst-two-yrs,scattered,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
downy-mildew,august,lt-normal,gt-norm,gt-norm,same-lst-two-yrs,low-areas,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
downy-mildew,august,lt-normal,gt-norm,lt-norm,same-lst-yr,upper-areas,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
downy-mildew,september,lt-normal,gt-norm,norm,same-lst-sev-yrs,upper-areas,norm,abnorm,yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,may,lt-normal,gt-norm,gt-norm,same-lst-sev-yrs,whole-field,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,june,normal,gt-norm,norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,june,normal,gt-norm,norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,june,normal,gt-norm,norm,same-lst-yr,scattered,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,may,lt-normal,gt-norm,gt-norm,same-lst-sev-yrs,whole-field,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,may,lt-normal,gt-norm,norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,april,lt-normal,gt-norm,gt-norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,june,normal,gt-norm,norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,may,normal,gt-norm,norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,june,lt-normal,gt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,september,normal,gt-norm,norm,same-lst-two-yrs,upper-areas,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,above-sec-nde,brown,absent,absent,none,absent,norm,norm
brown-spot,may,lt-normal,gt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,may,normal,gt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,august,normal,gt-norm,norm,same-lst-yr,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,above-sec-nde,brown,absent,absent,none,absent,norm,norm
brown-spot,may,normal,gt-norm,norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,august,lt-normal,gt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,above-sec-nde,brown,absent,absent,none,absent,norm,norm
brown-spot,june,normal,gt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,april,lt-normal,norm,norm,same-lst-two-yrs,upper-areas,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,may,lt-normal,norm,norm,same-lst-two-yrs,scattered,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,may,lt-normal,gt-norm,norm,same-lst-yr,scattered,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,may,normal,gt-norm,norm,same-lst-yr,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,above-sec-nde,brown,absent,absent,none,absent,norm,norm
brown-spot,june,normal,gt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,july,normal,gt-norm,norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,absent,tan,firm-and-dry,absent,none,absent,norm,norm
brown-spot,june,lt-normal,gt-norm,gt-norm,same-lst-sev-yrs,low-areas,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,may,normal,gt-norm,norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,may,lt-normal,gt-norm,norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,september,normal,gt-norm,norm,same-lst-yr,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,above-sec-nde,brown,absent,absent,none,absent,norm,norm
brown-spot,august,lt-normal,norm,norm,same-lst-two-yrs,upper-areas,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,above-sec-nde,brown,absent,absent,none,absent,norm,norm
brown-spot,july,lt-normal,gt-norm,norm,same-lst-yr,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,above-sec-nde,brown,absent,absent,none,absent,norm,norm
brown-spot,may,normal,gt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,august,normal,gt-norm,norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,absent,tan,firm-and-dry,absent,none,absent,norm,norm
brown-spot,june,lt-normal,gt-norm,norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,june,lt-normal,norm,norm,diff-lst-year,scattered,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,july,lt-normal,gt-norm,norm,same-lst-sev-yrs,low-areas,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,above-sec-nde,brown,absent,absent,none,absent,norm,norm
brown-spot,july,normal,gt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,absent,tan,firm-and-dry,absent,none,absent,norm,norm
brown-spot,june,normal,gt-norm,norm,same-lst-two-yrs,upper-areas,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,above-sec-nde,brown,absent,absent,none,absent,norm,norm
brown-spot,july,normal,gt-norm,norm,same-lst-sev-yrs,low-areas,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,july,lt-normal,gt-norm,norm,same-lst-sev-yrs,low-areas,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,above-sec-nde,brown,absent,absent,none,absent,norm,norm
brown-spot,june,lt-normal,gt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
brown-spot,september,lt-normal,gt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,abnorm,absent,tan,firm-and-dry,absent,none,absent,norm,norm
bacterial-blight,september,normal,gt-norm,norm,same-lst-sev-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-blight,august,normal,gt-norm,gt-norm,same-lst-two-yrs,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-blight,june,normal,norm,norm,diff-lst-year,scattered,norm,abnorm,yellow-halos,w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-blight,july,normal,norm,norm,same-lst-yr,upper-areas,norm,abnorm,yellow-halos,w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-blight,july,normal,norm,norm,same-lst-sev-yrs,upper-areas,norm,abnorm,yellow-halos,w-s-marg,lt-1/8,present,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-blight,july,normal,gt-norm,norm,same-lst-two-yrs,low-areas,norm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-blight,july,normal,norm,norm,same-lst-yr,scattered,norm,abnorm,yellow-halos,w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-blight,august,normal,gt-norm,norm,diff-lst-year,whole-field,norm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-blight,june,normal,norm,norm,same-lst-sev-yrs,low-areas,norm,abnorm,yellow-halos,w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-blight,august,lt-normal,gt-norm,gt-norm,same-lst-two-yrs,low-areas,norm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-pustule,june,lt-normal,norm,gt-norm,same-lst-two-yrs,upper-areas,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,galls-cysts
bacterial-pustule,july,normal,gt-norm,lt-norm,same-lst-two-yrs,whole-field,abnorm,abnorm,no-yellow-halos,no-w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-pustule,june,normal,norm,lt-norm,diff-lst-year,scattered,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,norm
bacterial-pustule,august,lt-normal,gt-norm,norm,same-lst-sev-yrs,scattered,norm,abnorm,yellow-halos,w-s-marg,lt-1/8,present,norm,absent,dna,absent,absent,none,absent,norm,rotted
bacterial-pustule,july,normal,gt-norm,norm,same-lst-yr,low-areas,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,absent,norm,absent,dna,absent,absent,none,absent,norm,rotted
